region,group,subgroup,"No, College;Percent without any college education", Some College;Percent with some college education,Associate's;Percent who've earned an Associate's degree,Bachelor's;Percent who've earned a Bachelor's degree
Bay Area,All,,0.243921176,0.173703015,0.065332353,0.517043471
Bay Area,Latinx,,0.530641139,0.19559142,0.068070516,0.205696926
Bay Area,Latinx,Mexican,0.571729541,0.191301852,0.065447457,0.171521172
Bay Area,Latinx,Central American,0.54668206,0.208974615,0.064807899,0.179535404
Bay Area,Latinx,Cuban,0.293999702,0.203300938,0.102884464,0.399814904
Bay Area,Latinx,Puerto Rican,0.347295731,0.269267619,0.071878619,0.311558038
Bay Area,Latinx,South American,0.209660292,0.144609571,0.078438312,0.567291796
Bay Area,Latinx,Other Latinx,0.256412804,0.219162807,0.10253042,0.421893984
Bay Area,White,,0.127984956,0.170284063,0.067771718,0.633959234
Bay Area,Asian,,0.144270033,0.125392869,0.054451525,0.675885558
Bay Area,Asian,Other Asian,0.154470667,0.133268088,0.072994821,0.639266431
Bay Area,Asian,South Asian,0.067760654,0.05052739,0.023961887,0.857750058
Bay Area,Asian,Southeast Asian,0.21478954,0.224202096,0.090535983,0.470472366
Bay Area,Black,,0.323255658,0.2960307,0.077895083,0.302818567
Bay Area,Native American or Alaska Native,,0.409676522,0.267406791,0.057428729,0.265487939
Bay Area,Pacific Islander,,0.385203063,0.266011834,0.124877937,0.223907173
Bay Area,Female,,0.224840254,0.165755063,0.071251526,0.538153172
Bay Area,Male,,0.262405008,0.181402251,0.059598412,0.49659434
Central Sierra,All,,0.416234761,0.289236844,0.085053228,0.209475189
Central Sierra,Latinx,,0.693153739,0.225594684,0.042799897,0.038451701
Central Sierra,Latinx,Mexican,0.708501995,0.242367879,0.030528504,0.018601598
Central Sierra,Latinx,Central American,1,0,0,0
Central Sierra,Latinx,Cuban,,,,
Central Sierra,Latinx,Puerto Rican,0.434137285,0.311688304,0.131725416,0.122448981
Central Sierra,Latinx,South American,0,0,0.359550565,0.640449464
Central Sierra,Latinx,Other Latinx,0.729988039,0.157108724,0.052568696,0.06033453
Central Sierra,White,,0.328752667,0.313977271,0.091378815,0.265891254
Central Sierra,Asian,,0.662966728,0.069626637,0,0.267406672
Central Sierra,Asian,Other Asian,,,,
Central Sierra,Asian,South Asian,,,,
Central Sierra,Asian,Southeast Asian,0.566225171,0.114238411,0,0.319536418
Central Sierra,Black,,0.737683117,0.069906794,0.062583223,0.129826903
Central Sierra,Native American or Alaska Native,,0.493531376,0.330138952,0.119789168,0.056540489
Central Sierra,Pacific Islander,,0.133858263,0.67979002,0,0.186351702
Central Sierra,Female,,0.287861496,0.313561022,0.110783063,0.287794411
Central Sierra,Male,,0.526706338,0.268304646,0.062911421,0.14207761
Central Coast,All,,0.390635669,0.225200281,0.090891555,0.293272495
Central Coast,Latinx,,0.602786362,0.200413287,0.078460455,0.118339904
Central Coast,Latinx,Mexican,0.619520128,0.201171339,0.079823747,0.099484809
Central Coast,Latinx,Central American,0.631424665,0.173483297,0.064689845,0.130402178
Central Coast,Latinx,Cuban,0.182511434,0.24097611,0.165226236,0.411286235
Central Coast,Latinx,Puerto Rican,0.304637283,0.161157027,0.058539946,0.475665748
Central Coast,Latinx,South American,0.220137358,0.249938682,0.058253616,0.471670359
Central Coast,Latinx,Other Latinx,0.458990782,0.172629282,0.049523514,0.318856418
Central Coast,White,,0.195557877,0.245690465,0.107782409,0.450969249
Central Coast,Asian,,0.126446724,0.209275499,0.065241568,0.599036217
Central Coast,Asian,Other Asian,0.200168923,0.297719598,0.038006756,0.464104742
Central Coast,Asian,South Asian,0.049899977,0.164703265,0.052678373,0.732718408
Central Coast,Asian,Southeast Asian,0.139663085,0.287440479,0.076424412,0.496472031
Central Coast,Black,,0.294141024,0.388653249,0.08947508,0.227730647
Central Coast,Native American or Alaska Native,,0.525215268,0.236777365,0.140836403,0.097170971
Central Coast,Pacific Islander,,0.516339898,0.038126361,0.100217864,0.345315903
Central Coast,Female,,0.359312534,0.216450527,0.100201033,0.324035883
Central Coast,Male,,0.420266688,0.233477354,0.082084991,0.264170974
Inland Empire,All,,0.456393659,0.242925122,0.087157845,0.213523358
Inland Empire,Latinx,,0.591366649,0.224585637,0.069220752,0.114826947
Inland Empire,Latinx,Mexican,0.612343609,0.217609584,0.067550592,0.102496184
Inland Empire,Latinx,Central American,0.564369202,0.224587247,0.073259778,0.137783796
Inland Empire,Latinx,Cuban,0.188999414,0.40667057,0.044616736,0.359713286
Inland Empire,Latinx,Puerto Rican,0.395688772,0.228358552,0.117961548,0.257991135
Inland Empire,Latinx,South American,0.305236429,0.319517612,0.084290698,0.290955245
Inland Empire,Latinx,Other Latinx,0.420615613,0.323602855,0.076643638,0.179137886
Inland Empire,White,,0.318990231,0.275777757,0.10793677,0.297295213
Inland Empire,Asian,,0.190075412,0.179209709,0.104329951,0.52638495
Inland Empire,Asian,Other Asian,0.189421624,0.174371108,0.182326376,0.453880876
Inland Empire,Asian,South Asian,0.169531748,0.069100767,0.085758559,0.675608933
Inland Empire,Asian,Southeast Asian,0.224473819,0.224740043,0.092551991,0.458234161
Inland Empire,Black,,0.339391291,0.301125348,0.108110547,0.251372814
Inland Empire,Native American or Alaska Native,,0.49852258,0.223019555,0.112424374,0.166033491
Inland Empire,Pacific Islander,,0.394387007,0.207287043,0.053175777,0.345150173
Inland Empire,Female,,0.420640111,0.246692628,0.098391809,0.234275445
Inland Empire,Male,,0.49176392,0.239198014,0.076044329,0.192993745
Los Angeles,All,,0.383409649,0.202230051,0.069737799,0.344622523
Los Angeles,Latinx,,0.581624866,0.212462947,0.057138517,0.14877364
Los Angeles,Latinx,Mexican,0.598377585,0.213593185,0.05514212,0.13288714
Los Angeles,Latinx,Central American,0.619027078,0.194612473,0.055162687,0.131197736
Los Angeles,Latinx,Cuban,0.247579068,0.241365805,0.112454519,0.398600608
Los Angeles,Latinx,Puerto Rican,0.293223292,0.319690704,0.059886251,0.327199727
Los Angeles,Latinx,South American,0.245598316,0.233838782,0.101991951,0.418570936
Los Angeles,Latinx,Other Latinx,0.499336034,0.214543968,0.058415178,0.227704808
Los Angeles,White,,0.162749767,0.19516249,0.079560816,0.562526941
Los Angeles,Asian,,0.18193908,0.131929398,0.074695289,0.611436248
Los Angeles,Asian,Other Asian,0.185748056,0.116064392,0.062872902,0.635314643
Los Angeles,Asian,South Asian,0.132206202,0.069535017,0.025629321,0.77262944
Los Angeles,Asian,Southeast Asian,0.200070918,0.181880757,0.101088904,0.516959429
Los Angeles,Black,,0.313733608,0.293366283,0.103063188,0.289836913
Los Angeles,Native American or Alaska Native,,0.532394946,0.232353553,0.079693645,0.155557856
Los Angeles,Pacific Islander,,0.415698916,0.311397851,0.080860212,0.192043006
Los Angeles,Female,,0.361213744,0.197732881,0.073644549,0.367408812
Los Angeles,Male,,0.405376822,0.206680879,0.065871306,0.322070986
North Far North,All,,0.380683064,0.266848952,0.10366331,0.248804659
North Far North,Latinx,,0.578707099,0.211063668,0.091861777,0.118367448
North Far North,Latinx,Mexican,0.611909449,0.208321586,0.093704015,0.086064935
North Far North,Latinx,Central American,0.128459901,0.273243427,0,0.598296642
North Far North,Latinx,Cuban,0.128571436,0,0.314285725,0.557142854
North Far North,Latinx,Puerto Rican,0.208191127,0.348122865,0.334470987,0.109215014
North Far North,Latinx,South American,0.197948098,0.152082071,0.353651166,0.29631865
North Far North,Latinx,Other Latinx,0.656608105,0.230519474,0,0.112872422
North Far North,White,,0.326552778,0.280546933,0.110494584,0.282405704
North Far North,Asian,,0.509056747,0.146103889,0.117395759,0.227443606
North Far North,Asian,Other Asian,0,1,0,0
North Far North,Asian,South Asian,1,0,0,0
North Far North,Asian,Southeast Asian,0.6484586,0.098972417,0.065440781,0.187128171
North Far North,Black,,0.662552953,0.203904957,0.036102414,0.097439677
North Far North,Native American or Alaska Native,,0.522808015,0.263748765,0.137274399,0.07616882
North Far North,Pacific Islander,,0.225433528,0.127693117,0,0.646873355
North Far North,Female,,0.290780187,0.287140816,0.126743361,0.295335621
North Far North,Male,,0.464206576,0.247997001,0.082220979,0.205575451
Orange,All,,0.320478648,0.186335191,0.07309816,0.420087993
Orange,Latinx,,0.588024557,0.192997411,0.054119393,0.164858654
Orange,Latinx,Mexican,0.618764758,0.188285351,0.052532136,0.14041777
Orange,Latinx,Central American,0.546393037,0.203668669,0.060088839,0.189849466
Orange,Latinx,Cuban,0.267343491,0.200930625,0.048857868,0.482868016
Orange,Latinx,Puerto Rican,0.205850482,0.241293922,0.08481659,0.468039006
Orange,Latinx,South American,0.260668516,0.246135548,0.049015723,0.44418022
Orange,Latinx,Other Latinx,0.375762582,0.234789774,0.087551527,0.301896125
Orange,White,,0.165160567,0.213137686,0.085620455,0.536081254
Orange,Asian,,0.163257226,0.133464605,0.080528289,0.622749865
