region,group,Grocery Stores with very long name;Longer name Grocery,Gas Station with very long name;Longer Name Gas,Banks;Longer Name Banks,Hospital;Longer name hospital,Dentist;longer Name Dentist
Bay Area,All,0.1759657,0.3090129,0.2017167,0.1587983,0.0858369
Bay Area,demo,0.1759657,0.3090129,,,
Central Sierra,,0.8235294,0.2352941,0.6470588,0.3529412,0.5294118
Central Coast,,0.25,0.3235294,0.2794118,0.1617647,0.2058824
Inland Empire,,0.3211009,0.1651376,0.266055,0.1651376,0.1834862
Los Angeles,,0.1607143,0.25,0.2392857,0.0714286,0.0785714
North Far North,,0.3863636,0.3409091,0.5,0.3409091,0.3409091
Orange,,0.2926829,0.2560976,0.1585366,0.0609756,0.0609756
Sacramento Tahoe,,0.1714286,0.1857143,0.3428572,0.3571429,0.1571429
San Diego,,0.2195122,0.2073171,0.2317073,0.1219512,0.1097561
Imperial,,0.3333333,0,0.6666667,0.1666667,0.5
San Joaquin Valley,,0.2246377,0.1811594,0.5289855,0.384058,0.4202898
Northern Sacramento Valley,,0.0625,0.125,0.125,0.1875,0.375
Statewide,,0.2244541,0.2436681,0.2882096,0.1781659,0.1676856
