region,group,subgroup,Employment;What percent of residents are employed?
Bay Area,All,,0.842932999
Bay Area,Native American/Alaska Native,,0.656117022
Bay Area,Asian,,0.839891613
Bay Area,Asian,Other Asian,0.892234504
Bay Area,Asian,South Asian,0.838130534
Bay Area,Asian,Southeast Asian,0.872280121
Bay Area,Native Hawaiian/Other Pacific Islander,,0.859958947
Bay Area,Some Other Race alone,,0.867762208
Bay Area,2 or more races,,0.856428266
Bay Area,White,,0.852745831
Bay Area,Black,,0.803065956
Bay Area,Latino/Latina,,0.838196993
Bay Area,Latino/Latina,Mexican,0.838891268
Bay Area,Latino/Latina,Central American,0.857429862
Bay Area,Latino/Latina,Cuban,0.823158741
Bay Area,Latino/Latina,Puerto Rican,0.815474272
Bay Area,Latino/Latina,South American,0.811552763
Bay Area,Latino/Latina,Other Hispanic,0.804570198
Bay Area,Female,,0.784638524
Bay Area,Male,,0.900477231
Bay Area,Very High Income,,0.895168245
Bay Area,Higher Income,,0.932554245
Bay Area,Middle Income,,0.87783581
Bay Area,Lower Income,,0.798401296
Bay Area,Very Low Income,,0.605620325
Central Sierra,All,,0.773136497
Central Sierra,Native American/Alaska Native,,0.851573706
Central Sierra,Asian,,0.798711777
Central Sierra,Asian,Southeast Asian,0.776744187
Central Sierra,Native Hawaiian/Other Pacific Islander,,1
Central Sierra,Some Other Race alone,,1
Central Sierra,2 or more races,,0.840766549
Central Sierra,White,,0.742588222
Central Sierra,Black,,0.933600485
Central Sierra,Latino/Latina,,0.880645633
Central Sierra,Latino/Latina,Mexican,0.91041708
Central Sierra,Latino/Latina,Central American,0.834170878
Central Sierra,Latino/Latina,Puerto Rican,0.636977077
Central Sierra,Latino/Latina,South American,0.421319783
Central Sierra,Latino/Latina,Other Hispanic,0.867750704
Central Sierra,Female,,0.744436145
Central Sierra,Male,,0.799571574
Central Sierra,Very High Income,,0.857885957
Central Sierra,Higher Income,,0.885898113
Central Sierra,Middle Income,,0.793760657
Central Sierra,Lower Income,,0.714393973
Central Sierra,Very Low Income,,0.450771183
Central Coast,All,,0.821161866
Central Coast,Native American/Alaska Native,,0.620227754
Central Coast,Asian,,0.841373622
Central Coast,Asian,Other Asian,0.950682878
Central Coast,Asian,South Asian,0.761768639
Central Coast,Asian,Southeast Asian,0.88442719
Central Coast,Native Hawaiian/Other Pacific Islander,,0.739064872
Central Coast,Some Other Race alone,,0.79318732
Central Coast,2 or more races,,0.837830245
Central Coast,White,,0.820272803
Central Coast,Black,,0.836500049
Central Coast,Latino/Latina,,0.819301665
Central Coast,Latino/Latina,Mexican,0.81936121
Central Coast,Latino/Latina,Central American,0.861916304
Central Coast,Latino/Latina,Cuban,0.800345004
Central Coast,Latino/Latina,Puerto Rican,0.878436148
Central Coast,Latino/Latina,South American,0.77236557
Central Coast,Latino/Latina,Other Hispanic,0.758566082
Central Coast,Female,,0.746941149
Central Coast,Male,,0.89349848
Central Coast,Very High Income,,0.858728945
Central Coast,Higher Income,,0.905727983
Central Coast,Middle Income,,0.8547858
Central Coast,Lower Income,,0.75150001
Central Coast,Very Low Income,,0.611239135
Inland Empire,All,,0.781053066
