region,group,subgroup,How many people are employed?,How many people are employed divided by two?
Bay Area,All,,0.842933,0.4214665
Bay Area,American Indian/Alaska Native,,0.656117,
Bay Area,Asian,,0.8398916,
Bay Area,Asian,Other Asian,0.8922345,
Bay Area,Asian,South Asian,0.8381305,
Bay Area,Asian,Southeast Asian,0.8722801,
Bay Area,Native Hawaiian and Other Pacific Islander alone,,0.8599589,
Bay Area,Some Other Race alone,,0.8677622,
Bay Area,Two or More Races,,0.8564283,
Bay Area,White alone,,0.8527458,
Bay Area,Black or African American alone,,0.803066,
Bay Area,Latinx,,0.838197,
Bay Area,Latinx,Central American,0.8574299,
Bay Area,Latinx,Cuban,0.8231587,
Bay Area,Latinx,Mexican,0.8388913,
Bay Area,Latinx,Other Hispanic,0.8045702,
Bay Area,Latinx,Puerto Rican,0.8154743,
Bay Area,Latinx,South American,0.8115528,
Bay Area,Economic,Lower Income,0.7984013,
Bay Area,Economic,Middle Income,0.8778358,
Bay Area,Economic,Poor,0.6056203,
Bay Area,Economic,Rich,0.8951682,
Bay Area,Economic,Upper Income,0.9325542,
Bay Area,Gender,Female,0.7846385,
Bay Area,Gender,Male,0.9004772,
Central Coast,All,,0.8211619,0.41058095
Central Coast,American Indian/Alaska Native,,0.6202278,0.3101139
Central Coast,Asian,,0.8413736,0.4206868
Central Coast,Asian,Other Asian,0.9506829,0.47534145
Central Coast,Asian,South Asian,0.7617686,0.3808843
Central Coast,Asian,Southeast Asian,0.8844272,0.4422136
Central Coast,Native Hawaiian and Other Pacific Islander alone,,0.7390649,0.36953245
Central Coast,Some Other Race alone,,0.7931873,0.39659365
Central Coast,Two or More Races,,0.8378302,0.4189151
Central Coast,White alone,,0.8202728,0.4101364
Central Coast,Black or African American alone,,0.8365,0.41825
Central Coast,Latinx,,0.8193017,0.40965085
Central Coast,Latinx,Central American,0.8619163,0.43095815
Central Coast,Latinx,Cuban,0.800345,0.4001725
Central Coast,Latinx,Mexican,0.8193612,0.4096806
Central Coast,Latinx,Other Hispanic,0.7585661,0.37928305
Central Coast,Latinx,Puerto Rican,0.8784361,0.43921805
Central Coast,Latinx,South American,0.7723656,0.3861828
Central Coast,Economic,Lower Income,0.7515,0.37575
Central Coast,Economic,Middle Income,0.8547858,0.4273929
Central Coast,Economic,Poor,0.6112391,0.30561955
Central Coast,Economic,Rich,0.8587289,0.42936445
Central Coast,Economic,Upper Income,0.905728,0.452864
Central Coast,Gender,Female,0.7469411,0.37347055
Central Coast,Gender,Male,0.8934985,0.44674925
Central Sierra,All,,0.7731365,0.38656825
Central Sierra,American Indian/Alaska Native,,0.8515737,0.42578685
Central Sierra,Asian,,0.7987118,0.3993559
Central Sierra,Asian,Southeast Asian,0.7767442,0.3883721
Central Sierra,Native Hawaiian and Other Pacific Islander alone,,1,0.5
Central Sierra,Some Other Race alone,,1,0.5
Central Sierra,Two or More Races,,0.8407665,0.42038325
Central Sierra,White alone,,0.7425882,0.3712941
Central Sierra,Black or African American alone,,0.9336005,0.46680025
Central Sierra,Latinx,,0.8806456,0.4403228
Central Sierra,Latinx,Central American,0.8341709,0.41708545
Central Sierra,Latinx,Mexican,0.9104171,0.45520855
Central Sierra,Latinx,Other Hispanic,0.8677507,0.43387535
Central Sierra,Latinx,Puerto Rican,0.6369771,0.31848855
Central Sierra,Latinx,South American,0.4213198,0.2106599
Central Sierra,Economic,Lower Income,0.714394,0.357197
Central Sierra,Economic,Middle Income,0.7937607,0.39688035
Central Sierra,Economic,Poor,0.4507712,0.2253856
Central Sierra,Economic,Rich,0.857886,0.428943
Central Sierra,Economic,Upper Income,0.8858981,0.44294905
Central Sierra,Gender,Female,0.7444361,0.37221805
Central Sierra,Gender,Male,0.7995716,0.3997858
Sacramento Tahoe,All,,0.7841867,0.39209335
Sacramento Tahoe,American Indian/Alaska Native,,0.606486,0.303243
Sacramento Tahoe,Asian,,0.8027871,0.40139355
Sacramento Tahoe,Asian,Other Asian,0.8521257,0.42606285
Sacramento Tahoe,Asian,South Asian,0.7904686,0.3952343
Sacramento Tahoe,Asian,Southeast Asian,0.8186136,0.4093068
Sacramento Tahoe,Native Hawaiian and Other Pacific Islander alone,,0.7133929,0.35669645
Sacramento Tahoe,Some Other Race alone,,0.7613032,0.3806516
Sacramento Tahoe,Two or More Races,,0.7497616,0.3748808
Sacramento Tahoe,White alone,,0.7841624,0.3920812
Sacramento Tahoe,Black or African American alone,,0.7694017,0.38470085
Sacramento Tahoe,Latinx,,0.7907365,0.39536825
Sacramento Tahoe,Latinx,Central American,0.7449081,0.37245405
Sacramento Tahoe,Latinx,Cuban,0.6657842,0.3328921
Sacramento Tahoe,Latinx,Mexican,0.7924563,0.39622815
Sacramento Tahoe,Latinx,Other Hispanic,0.803787,0.4018935
Sacramento Tahoe,Latinx,Puerto Rican,0.7827566,0.3913783
Sacramento Tahoe,Latinx,South American,0.8893787,0.44468935
Sacramento Tahoe,Economic,Lower Income,0.7020229,0.35101145
Sacramento Tahoe,Economic,Middle Income,0.8259751,0.41298755
Sacramento Tahoe,Economic,Poor,0.5348374,0.2674187
Sacramento Tahoe,Economic,Rich,0.8697695,0.43488475
Sacramento Tahoe,Economic,Upper Income,0.8846263,0.44231315
Sacramento Tahoe,Gender,Female,0.7231222,0.3615611
Sacramento Tahoe,Gender,Male,0.8473179,0.42365895
Imperial,All,,0.7711793,0.38558965
Imperial,American Indian/Alaska Native,,0.9031658,0.4515829
Imperial,Asian,,0.7244275,0.36221375
Imperial,Asian,Other Asian,1,0.5
Imperial,Asian,South Asian,0.5283019,0.26415095
Imperial,Asian,Southeast Asian,0.6625917,0.33129585
Imperial,Native Hawaiian and Other Pacific Islander alone,,,0
Imperial,Some Other Race alone,,,0
Imperial,Two or More Races,,1,0.5
Imperial,White alone,,0.8042237,0.40211185
Imperial,Black or African American alone,,0.8329765,0.41648825
Imperial,Latinx,,0.7683809,0.38419045
Imperial,Latinx,Central American,1,0.5
Imperial,Latinx,Mexican,0.764963,0.3824815
Imperial,Latinx,Other Hispanic,1,0.5
Imperial,Latinx,Puerto Rican,0.6175439,0.30877195
Imperial,Latinx,South American,1,0.5
Imperial,Economic,Lower Income,0.6296624,0.3148312
Imperial,Economic,Middle Income,0.7640805,0.38204025
Imperial,Economic,Poor,0.5648148,0.2824074
Imperial,Economic,Rich,0.896615,0.4483075
Imperial,Economic,Upper Income,0.8668807,0.43344035
Imperial,Gender,Female,0.6540827,0.32704135
Imperial,Gender,Male,0.878133,0.4390665
Inland Empire,All,,0.7810531,0.39052655
Inland Empire,American Indian/Alaska Native,,0.6696177,0.33480885
Inland Empire,Asian,,0.7864752,0.3932376
Inland Empire,Asian,Other Asian,0.7449059,0.37245295
Inland Empire,Asian,South Asian,0.7838413,0.39192065
Inland Empire,Asian,Southeast Asian,0.828113,0.4140565
Inland Empire,Native Hawaiian and Other Pacific Islander alone,,0.7694291,0.38471455
Inland Empire,Some Other Race alone,,0.7935923,0.39679615
Inland Empire,Two or More Races,,0.7646833,0.38234165
Inland Empire,White alone,,0.7649212,0.3824606
Inland Empire,Black or African American alone,,0.8030097,0.40150485
Inland Empire,Latinx,,0.7892722,0.3946361
Inland Empire,Latinx,Central American,0.8633333,0.43166665
Inland Empire,Latinx,Cuban,0.8213249,0.41066245
Inland Empire,Latinx,Mexican,0.7797716,0.3898858
Inland Empire,Latinx,Other Hispanic,0.8308418,0.4154209
Inland Empire,Latinx,Puerto Rican,0.8250171,0.41250855
Inland Empire,Latinx,South American,0.8573121,0.42865605
Inland Empire,Economic,Lower Income,0.6849399,0.34246995
Inland Empire,Economic,Middle Income,0.8159297,0.40796485
Inland Empire,Economic,Poor,0.5214775,0.26073875
Inland Empire,Economic,Rich,0.8778677,0.43893385
Inland Empire,Economic,Upper Income,0.8911321,0.44556605
Inland Empire,Gender,Female,0.7014802,0.3507401
Inland Empire,Gender,Male,0.8608994,0.4304497
Los Angeles,All,,0.8148813,0.40744065
Los Angeles,American Indian/Alaska Native,,0.7168782,0.3584391
Los Angeles,Asian,,0.8235558,0.4117779
Los Angeles,Asian,Other Asian,0.8607212,0.4303606
Los Angeles,Asian,South Asian,0.8093629,0.40468145
Los Angeles,Asian,Southeast Asian,0.8593278,0.4296639
Los Angeles,Native Hawaiian and Other Pacific Islander alone,,0.9106429,0.45532145
Los Angeles,Some Other Race alone,,0.7927201,0.39636005
Los Angeles,Two or More Races,,0.8649468,0.4324734
Los Angeles,White alone,,0.8233832,0.4116916
Los Angeles,Black or African American alone,,0.7623079,0.38115395
Los Angeles,Latinx,,0.8141326,0.4070663
Los Angeles,Latinx,Central American,0.8461738,0.4230869
Los Angeles,Latinx,Cuban,0.820475,0.4102375
Los Angeles,Latinx,Mexican,0.8025208,0.4012604
Los Angeles,Latinx,Other Hispanic,0.8358124,0.4179062
Los Angeles,Latinx,Puerto Rican,0.8429379,0.42146895
Los Angeles,Latinx,South American,0.8649951,0.43249755
Los Angeles,Economic,Lower Income,0.744089,0.3720445
Los Angeles,Economic,Middle Income,0.8620226,0.4310113
Los Angeles,Economic,Poor,0.5422941,0.27114705
