region,group,subgroup,Individual;Number of jobs openings that provide a living wage for an individual,Family;Number of jobs openings that provide a living wage for a family of four
Bay Area,,,1339788,245321
Central Sierra,,,85848,6359
Central Coast,,,569603,104347
Inland Empire,,,1035049,98337
Los Angeles,,,550618,141268
North Far North,,,302541,27158
Orange,,,407608,52014
Sacramento Tahoe,,,1373740,185852
San Diego,,,424950,56990
Imperial,,,607579,56534
San Joaquin Valley,,,87177,7156
Statewide,,,6784501,981336
